,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls▼,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
61,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,26,26,2138,4,1,3,3,4,0,0.17,0.04,0.21,0.04,0.08,2.9,0.6,1.3,0.12,0.06,0.18,0.02,0.08,Matches
62,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,24,17,1591,4,6,1,1,3,0,0.23,0.34,0.57,0.17,0.51,4.4,3.6,3.4,0.25,0.19,0.44,0.20,0.40,Matches
63,Adama Traoré\Adama-Traore,es ESP,FWDF,Wolves,23,1996,28,22,2072,4,7,0,0,0,0,0.17,0.30,0.48,0.17,0.48,2.3,2.3,5.7,0.10,0.25,0.35,0.10,0.35,Matches
64,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,29,29,2610,4,3,1,2,7,0,0.14,0.10,0.24,0.10,0.21,4.4,2.8,3.9,0.15,0.13,0.29,0.09,0.23,Matches
65,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,22,22,1892,3,0,1,1,0,0,0.14,0.00,0.14,0.10,0.10,1.8,1.0,1.8,0.09,0.08,0.17,0.05,0.13,Matches
66,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,21,12,1142,3,0,0,0,3,0,0.24,0.00,0.24,0.24,0.24,2.0,2.0,0.8,0.16,0.07,0.22,0.16,0.22,Matches
67,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,19,13,1021,3,2,0,0,2,0,0.26,0.18,0.44,0.26,0.44,1.0,1.0,1.5,0.08,0.13,0.22,0.08,0.22,Matches
68,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,23,23,2023,3,0,0,0,7,0,0.13,0.00,0.13,0.13,0.13,1.2,1.2,1.3,0.05,0.06,0.11,0.05,0.11,Matches
69,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,23,22,1956,3,0,0,0,8,0,0.14,0.00,0.14,0.14,0.14,1.4,1.4,0.3,0.06,0.01,0.08,0.06,0.08,Matches
70,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,25,22,1886,3,5,0,0,1,0,0.14,0.24,0.38,0.14,0.38,1.1,1.1,2.9,0.05,0.14,0.19,0.05,0.19,Matches
71,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,18,11,946,3,2,0,0,4,0,0.29,0.19,0.48,0.29,0.48,1.1,1.1,2.8,0.11,0.27,0.37,0.11,0.37,Matches
72,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,12,7,584,3,3,0,0,1,0,0.46,0.46,0.92,0.46,0.92,2.8,2.8,2.1,0.43,0.33,0.76,0.43,0.76,Matches
73,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,27,25,2167,3,6,0,0,3,0,0.12,0.25,0.37,0.12,0.37,3.1,3.1,4.0,0.13,0.16,0.29,0.13,0.29,Matches
74,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,18,16,1385,3,0,0,0,3,0,0.19,0.00,0.19,0.19,0.19,1.5,1.5,2.0,0.10,0.13,0.23,0.10,0.23,Matches
75,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,26,18,1719,3,2,0,0,4,0,0.16,0.10,0.26,0.16,0.26,2.1,2.1,0.8,0.11,0.04,0.15,0.11,0.15,Matches
76,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,14,6,663,3,0,0,0,1,0,0.41,0.00,0.41,0.41,0.41,2.3,2.3,0.2,0.31,0.03,0.35,0.31,0.35,Matches
77,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,18,18,1537,3,2,0,0,2,0,0.18,0.12,0.29,0.18,0.29,2.7,2.7,1.9,0.16,0.11,0.27,0.16,0.27,Matches
78,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,22,5,528,3,1,0,0,0,0,0.51,0.17,0.68,0.51,0.68,2.0,2.0,0.1,0.34,0.02,0.35,0.34,0.35,Matches
79,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,21,13,1103,3,0,0,0,1,0,0.24,0.00,0.24,0.24,0.24,2.3,2.3,1.1,0.19,0.09,0.28,0.19,0.28,Matches
80,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28,28,2520,3,2,0,0,1,0,0.11,0.07,0.18,0.11,0.18,1.2,1.1,3.8,0.04,0.13,0.18,0.04,0.17,Matches
81,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,23,13,1326,3,0,1,1,3,0,0.20,0.00,0.20,0.14,0.14,2.2,1.5,1.8,0.15,0.12,0.27,0.10,0.22,Matches
82,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,23,23,1954,3,1,0,0,2,0,0.14,0.05,0.18,0.14,0.18,3.9,3.9,2.7,0.18,0.13,0.31,0.18,0.31,Matches
83,Rodri\Rodri,es ESP,MFDF,Manchester City,23,1996,26,22,1957,3,1,0,0,7,0,0.14,0.05,0.18,0.14,0.18,0.9,0.9,1.3,0.04,0.06,0.10,0.04,0.10,Matches
84,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,18,6,671,3,0,0,0,1,1,0.40,0.00,0.40,0.40,0.40,1.8,1.8,1.5,0.24,0.20,0.44,0.24,0.44,Matches
85,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,19,16,1255,3,7,0,0,0,0,0.22,0.50,0.72,0.22,0.72,4.1,4.1,3.4,0.29,0.24,0.54,0.29,0.54,Matches
86,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,28,24,2152,3,5,0,0,1,0,0.13,0.21,0.33,0.13,0.33,2.4,2.4,4.2,0.10,0.17,0.27,0.10,0.27,Matches
