,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG▼,npxG+xA,Matches
79,Amir Rrahmani\Amir-Rrahmani,xk KVX,DF,Hellas Verona,25,1994,25,25,2238,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,2.3,2.3,0.5,0.09,0.02,0.11,0.09,0.11,Matches
80,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,32,1987,25,25,2222,3,0,0,0,5,0,0.12,0.00,0.12,0.12,0.12,2.2,2.2,0.4,0.09,0.02,0.11,0.09,0.11,Matches
81,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,25,1993,25,25,2250,2,3,0,0,3,0,0.08,0.12,0.20,0.08,0.20,2.2,2.2,2.2,0.09,0.09,0.18,0.09,0.18,Matches
82,Nikola Milenković\Nikola-Milenkovic,rs SRB,DF,Fiorentina,21,1997,25,25,2250,3,0,0,0,5,0,0.12,0.00,0.12,0.12,0.12,2.1,2.1,0.1,0.09,0.00,0.09,0.09,0.09,Matches
83,Gaetano Castrovilli\Gaetano-Castrovilli,it ITA,MF,Fiorentina,22,1997,24,24,2012,3,2,0,0,8,0,0.13,0.09,0.22,0.13,0.22,2.0,2.0,2.2,0.09,0.10,0.19,0.09,0.19,Matches
84,Germán Pezzella\German-Pezzella,ar ARG,DF,Fiorentina,28,1991,23,23,1975,2,0,0,0,9,0,0.09,0.00,0.09,0.09,0.09,1.9,1.9,0.3,0.09,0.02,0.10,0.09,0.10,Matches
85,Fabián Ruiz Peña\Fabian-Ruiz-Pena,es ESP,MF,Napoli,23,1996,22,21,1899,2,2,0,0,2,0,0.09,0.09,0.19,0.09,0.19,1.9,1.9,2.1,0.09,0.10,0.19,0.09,0.19,Matches
86,Martín Cáceres\Martin-Caceres,uy URU,DF,Fiorentina,32,1987,20,20,1747,1,0,0,0,6,0,0.05,0.00,0.05,0.05,0.05,1.8,1.8,0.4,0.09,0.02,0.11,0.09,0.11,Matches
87,Miguel Veloso\Miguel-Veloso,pt POR,MF,Hellas Verona,33,1986,21,20,1721,2,3,0,0,5,0,0.10,0.16,0.26,0.10,0.26,1.7,1.7,3.7,0.09,0.19,0.28,0.09,0.28,Matches
88,Marten de Roon\Marten-de-Roon,nl NED,MFDF,Atalanta,28,1991,22,19,1738,1,4,0,0,10,0,0.05,0.21,0.26,0.05,0.26,1.7,1.7,1.8,0.09,0.09,0.18,0.09,0.18,Matches
